repo,number,title,author,mergedBy
django/django,11490,"Fixed #30572 -- Prevented values()/values_list() on combined queryset from mutating the list of columns in querysets.","felixxm","felixxm"
django/django,11501,"Fixed #27801 -- Made createsuperuser fall back to environment variables for password and required fields.","hramezani","felixxm"
django/django,11514,"Fixed #30594 -- Added 'private' Cache-Control directive to never_cache() decorator.","nsasaki128","felixxm"
django/django,11517,"Fixed #30584 -- Fixed management command when using subparsers with dest parameter.","hramezani","felixxm"
django/django,11525,"Fixed #30604 -- Made mail_admins()/mail_managers() raise ValueError if ADMINS/MANAGERS is set incorrectly.","hramezani","felixxm"
django/django,11527,"Fixed #30595 -- Added error message when no objects found to sql* management commands.","hramezani","felixxm"
django/django,11532,"Fixed #30608 -- Fixed non-unicode EmailMessage crash when domain name for localhost is non-ASCII.","chason","felixxm"
django/django,11539,"Fixed #30613 -- Moved index name validation to system checks.","cansarigol","felixxm"
django/django,11543,"Fixed #30619 -- Made runserver --nothreading use single threaded WSGIServer.","atsuoishimoto","felixxm"
django/django,11550,"Fixed #30628 -- Adjusted expression identity to differentiate bound fields.","charettes","felixxm"
django/django,11551,"Fixed #30543 -- Fixed checks of ModelAdmin.list_display for fields accessible only via instance.","hramezani","felixxm"
django/django,11555,"Fixed #30557 -- Fixed crash of ordering by ptr fields when Meta.ordering contains expressions.","hramezani","felixxm"
django/django,11559,"Refs #30557 -- Fixed crash of ordering by ptr fields when Meta.ordering contains F() expressions.","felixxm","felixxm"
django/django,11560,"Fixed #30602 -- Made Extract raise ValueError when using unsupported lookups for DurationField.","hramezani","felixxm"
django/django,11564,"Fixed #25598 -- Added SCRIPT_NAME prefix to STATIC_URL and MEDIA_URL set to relative paths.","okainov","felixxm"
django/django,11583,"Fixed #30506 -- Fixed crash of autoreloader when path contains null characters.","orf","felixxm"
django/django,11584,"Fixed #30647 -- Fixed crash of autoreloader when extra directory cannot be resolved.","orf","felixxm"
django/django,11591,"Fixed #27995 -- Added error messages on unsupported operations following union(), intersection(), and difference().","hramezani","felixxm"
django/django,11592,"Fixed #30567 -- Made WSGIHandler pass FileResponse.block_size to wsgi.file_wrapper.","domandinho","felixxm"
django/django,11603,"Fixed #30665 -- Added support for distinct argument to Avg() and Sum().","tienne-B","felixxm"
django/django,11605,"Fixed #30668 -- Made QuerySet.filter() raise NotSupportedError if any of source expressions is not filterable.","gizmondo","felixxm"
django/django,11612,"Fixed #30664 -- Fixed migrations crash when altering table on SQLite or altering AutoField/BigAutoField on PostgreSQL for models with quoted db_table.","nsiregar","felixxm"
django/django,11618,"Fixed #30599 -- Prevented ManifestFilesMixin.read_manifest() from silencing errors other than FileNotFoundError.","zeyneloz","felixxm"
django/django,11620,"Fixed #29008 -- Fixed crash of 404 debug page when URL path converter raises Http404.","nsiregar","felixxm"
django/django,11622,"Fixed #28393 -- Added helpful error messages for invalid AutoField/FloatField/IntegerField values.","ngnpope","felixxm"
django/django,11630,"Fixed #30673 -- Relaxed system check for db_table collision when database routers are installed by turning the error into a warning.","uadnan","felixxm"
django/django,11638,"Fixed #30677 -- Improved error message for urlencode() and Client when None is passed as data.","Swat009","felixxm"
django/django,11666,"Fixed #30701 -- Updated patch_vary_headers() to handle an asterisk according to RFC 7231.","uadnan","felixxm"
django/django,11669,"Fixed #19878 -- Deprecated TemplateView passing URL kwargs into context.","adamchainz","felixxm"
django/django,11677,"Fixed #29545 -- Fixed using filter lookups againts nested subquery expressions.","charettes","felixxm"
django/django,11680,"Fixed #29260 -- Skipped an UPDATE when adding a model instance with primary key that has a default.","hramezani","felixxm"
django/django,11688,"Fixed #29667 -- Prohibited whitespaces in URL path converters.","hramezani","carltongibson"
django/django,11692,"Fixed #29338 -- Allowed using combined queryset in Subquery.","felixxm","felixxm"
django/django,11695,"Fixed #30722 -- Added default rate-limiting requests to admin's Select2 widget.","jmfederico","felixxm"
django/django,11701,"Fixed #30064 -- Added form to validate admin search fields query input.","carltongibson","carltongibson"
django/django,11707,"Fixed #30727 -- Made Subquery pickle without evaluating their QuerySet.","brownan","felixxm"
django/django,11727,"Fixed #29376 -- Allowed hiding ""Save and Add Another"" button in admin.","hramezani","felixxm"
django/django,11728,"Fixed #30731 -- Fixed handling trailing groups in simplify_regex().","n2ygk","felixxm"
django/django,11734,"Fixed #30739 -- Fixed exclusion of multi-valued lookup against outer rhs.","charettes","felixxm"
django/django,11740," Fixed #30691 -- Made migrations autodetector find dependencies for foreign keys altering.","Dart-net","felixxm"
django/django,11742,"Fixed #30757 -- Added a system check to ensure max_length fits the longest choice.","ngnpope","felixxm"
django/django,11749," Fixed #30763 -- Fixed management commands when using required mutually exclusive groups.","hramezani","felixxm"
django/django,11751,"Fixed #30426 -- Changed X_FRAME_OPTIONS setting default to DENY.","claudep","felixxm"
django/django,11754," Fixed #30752 -- Allowed using ExceptionReporter subclass in error re…","pulysak","carltongibson"
django/django,11772,"Fixed #30772 -- Optimized make_template_fragment_key().","danthedeckie","felixxm"
django/django,11790,"Fixed #30776 -- Restored max length validation on AuthenticationForm.UsernameField.","smjreynolds","felixxm"
django/django,11797,"Fixed #30771 -- Fixed exact lookup against queries with selected columns.","jhtimmins","felixxm"
django/django,11808,"Fixed #30651 -- Made __eq__() return NotImplemented for not implemented comparisons.","ElizabethU","felixxm"
django/django,11810,"Fixed #30796 -- Prevented select_related() from mutating a queryset on chaining.","charettes","felixxm"
django/django,11815,"Fixed #30774 -- Made serialization in migrations use members names for Enums.","hramezani","felixxm"
django/django,11820,"Fixed #30798 -- Fixed Meta.ordering validation for pk of related fields.","hramezani","felixxm"
django/django,11823,"Fixed #30765 -- Made cache_page decorator take precedence over max-age Cache-Control directive.","fcurella","felixxm"
django/django,11829,"Fixed #23755 -- Added support for multiple field names in the no-cache Cache-Control directive to patch_cache_control().","fcurella","felixxm"
django/django,11848,"Fixed #28690 -- Fixed handling of two-digit years in parse_http_date().","awtimmering","felixxm"
django/django,11880,"Fixed #30839 -- Fixed Field.__deepcopy__() so forms don't share error messages.","hramezani","felixxm"
django/django,11883,"Fixed #30759 -- Made cache.delete() return whether it succeeded.","MisterRios","felixxm"
django/django,11885,"Fixed #30856 -- Combined fast-delete queries by model during cascade deletion.","charettes","felixxm"
django/django,11891,"Fixed #30812 -- Made ConditionalGetMiddleware set ETag only for responses with non-empty content.","Dart-net","felixxm"
django/django,11893,"Fixed #11385 -- Made forms.DateTimeField accept ISO 8601 date inputs.","claudep","felixxm"
django/django,11894,"Fixed #30862 -- Allowed setting SameSite cookies flags to 'None'.","danidee10","felixxm"
django/django,11903,"Fixed #30872 -- Improved unknown command message when settings are manually configured.","carltongibson","felixxm"
django/django,11905,"Fixed #30841 -- Deprecated using non-boolean values for isnull lookup.","aericson","felixxm"
django/django,11910,"Fixed #30868 -- Prevented unnecessary AlterField when renaming a referenced pk.","charettes","felixxm"
django/django,11911,"Fixed #30870 -- Fixed showing that RunPython operations are irreversible by migrate --plan.","felixxm","felixxm"
django/django,11916,"Fixed #20577 -- Deferred filtering of prefetched related querysets.","gizmondo","felixxm"
django/django,11951,"Fixed #30827 -- Made batch_size arg of QuerySet.bulk_create() respect DatabaseOperations.bulk_batch_size().","felixxm","felixxm"
django/django,11964,"Fixed #30902 -- Added __str__() for model choice enums.","carltongibson","felixxm"
django/django,11983,"Fixed #30922 -- Fixed ModelAdmin.date_hierarchy queries with DST changes.","ErwinJunge","felixxm"
django/django,11991,"Fixed #30913 -- Added support for covering indexes on PostgreSQL 11+.","hannseman","felixxm"
django/django,11997,"Fixed #30761 -- Prevented floatformat filter from returning a negative zero.","countermeasure","felixxm"
django/django,11999,"Fixed #30931 -- Restored ability to override Model.get_FIELD_display().","carltongibson","felixxm"
django/django,12009,"Fixed #23433 -- Deprecated django-admin.py entry point in favor of django-admin.","jdufresne","felixxm"
django/django,12039,"Fixed #30961 -- Fixed spaces in columns list SQL generated for indexes.","hannseman","felixxm"
django/django,12049,"Fixed #29808 -- Fixed initial migration detection when identifiers are case-insensitive.","hramezani","felixxm"
django/django,12050,"Fixed #30971 -- Prevented Query.resolve_lookup_value() from coercing list values to tuples.","georgemarshall","felixxm"
django/django,12062,"Fixed #25388 -- Added an option to allow disabling of migrations during test database creation.","jdufresne","felixxm"
django/django,12073,"Fixed #30988 -- Deprecated the InvalidQuery exception class.","charettes","felixxm"
django/django,12091,"Fixed #30997 -- Deprecated HttpRequest.is_ajax().","claudep","felixxm"
django/django,12113,"Fixed #30413 -- Fixed test database signature on SQLite when test database name is provided.","farhaanbukhsh","felixxm"
django/django,12121,"Fixed #30995 -- Allowed converter.to_url() to raise ValueError to indicate no match.","jcushman","felixxm"
django/django,12122,"Fixed #9762 -- Made DateFormat.r() locale-independent.","bmispelon","felixxm"
django/django,12125,"Fixed #27914 -- Fixed serialization of nested classes in migrations.","jbowen7","felixxm"
django/django,12132,"Fixed #31010 -- Allowed subdomains of localhost in the Host header by default when DEBUG=True.","thenewguy","felixxm"
django/django,12143,"Fixed #31031 -- Fixed data loss in admin changelist view when formset's prefix contains regex special chars.","bmispelon","felixxm"
django/django,12148,"Fixed #22261 -- Fixed resolving namespaced URLs for flatpages.","hramezani","felixxm"
django/django,12153,"Fixed #31021 -- Fixed proxy model permissions data migration crash with a multiple databases setup.","felixxm","felixxm"
django/django,12155,"Fixed #30255 -- Fixed admindocs errors when rendering docstrings without leading newlines.","bmispelon","felixxm"
django/django,12161,"Fixed #31046 -- Allowed RelatedManager.add()/create()/set() to accept callable values in through_defaults.","bmispelon","felixxm"
django/django,12172,"Fixed #31056 -- Allowed disabling async-unsafe check with an environment variable.","andrewgodwin","felixxm"
django/django,12184,"Fixed #31061 -- Ignored positional args in django.urls.resolve() when all optional named parameters are missing.","felixxm","felixxm"
django/django,12185,"Fixed #31060 -- Reallowed window expressions to be used in conditions outside of queryset filters.","gizmondo","felixxm"
django/django,12193,"Fixed #31073 -- Prevented CheckboxInput.get_context() from mutating attrs.","PeteAndersen","felixxm"
django/django,12196,"Fixed #31077 -- Made debug decorators raise TypeError if they're not called.","bmispelon","felixxm"
django/django,12198,"Fixed #26480 -- Fixed crash of contrib.auth.authenticate() on decorated authenticate() methods of authentication backends.","bmispelon","felixxm"
django/django,12209,"Fixed #31071 -- Disabled insert optimization for primary keys with defaults when loading fixtures.","charettes","felixxm"
django/django,12212,"Fixed #26743 -- Fixed UnboundLocalError crash when deserializing m2m fields and value isn't iterable.","bmispelon","felixxm"
django/django,12225,"Fixed #31086 -- Improved error message for admin model inlines with more than one foreign key to the same parent.","ShubhamSingh20","felixxm"
django/django,12231,"Fixed #31095 -- Made RelatedManager.set() preserve existing m2m relations with an invalid type.","hramezani","felixxm"
django/django,12237,"Fixed #30892 -- Fixed slugify() and admin's URLify.js for ""İ"".","Sjbrgsn","felixxm"
django/django,12262,"Fixed #31128 -- Fixed TemplateSyntaxError in simple_tag() and inclusion_tag() for kwargs.","P-Seebauer","felixxm"
django/django,12273,"Fixed #29871 -- Allowed setting pk=None on a child model to create a copy.","ChetanKhanna","felixxm"
django/django,12276,"Fixed #31118 -- Made FileInput to avoid the required attribute when initial data exists.","ShubhamSingh20","felixxm"
django/django,12281,"Fixed #30980 -- Improved error message when checking uniqueness of admin actions' __name__.","AdamDonna","felixxm"
django/django,12284,"Fixed #31124 -- Fixed setting of get_FOO_display() when overriding inherited choices.","carltongibson","carltongibson"
django/django,12286,"Fixed #31141 -- Relaxed system check of translation settings for sublanguages.","felixxm","felixxm"
django/django,12299,"Fixed #31148 -- Added error messages on update()/delete() operations following union(), intersection(), and difference().","hramezani","felixxm"
django/django,12304,"Fixed #31154 -- Added support for using enumeration types in templates.","adamchainz","felixxm"
django/django,12306,"Fixed #31155 -- Fixed a system check for the longest choice when a named group contains only non-string values.","felixxm","felixxm"
django/django,12308,"Fixed #31157 -- Fixed displaying read-only JSONField values in admin.","dbxnr","felixxm"
django/django,12313,"Fixed #23916 -- Allowed makemigrations to handle related model name case changes.","adamchainz","felixxm"
django/django,12325,"Fixed #29998 -- Allowed multiple OneToOneFields to the parent model.","felixxm","felixxm"
django/django,12343,"Fixed #31181 -- Added links to related models for admin's readonly fields.","julienr","felixxm"
django/django,12360,"Fixed #31200 -- Added system checks for permissions codenames max length.","mulhollandms","felixxm"
django/django,12364,"Fixed #31187 -- Fixed detecting of existing total ordering in admin changelist when using Meta.constraints.","callmesangio","felixxm"
django/django,12394,"Fixed #31219 -- Fixed object deletion crash for nested protected related objects.","matthiask","felixxm"
django/django,12396,"Fixed #31055 -- Made constraint checks support databases aware. ","charettes","felixxm"
django/django,12406,"Fixed #26813 -- Prevented empty choice in ModelChoiceField with RadioSelect for fields with blank=False.","hramezani","felixxm"
django/django,12407,"Fixed #20995 -- Added support for iterables of template names to {% include %} template tag.","keshav2212","felixxm"
django/django,12419,"Fixed #31232 -- Changed default SECURE_REFERRER_POLICY to 'same-origin'.","adamchainz","felixxm"
django/django,12430,"Fixed #31253 -- Fixed data loss possibility when using caching from async code.","jdufresne","felixxm"
django/django,12431,"Fixed #31240 -- Properly closed FileResponse when wsgi.file_wrapper is used.","apollo13","felixxm"
django/django,12441,"Fixed #30261 -- Prevented Form._html_output() from mutating errors when hidden fields have errors.","hramezani","felixxm"
django/django,12453,"Fixed #26552 -- Deferred constraint checks when reloading the database with data for tests.","matthijskooijman","felixxm"
django/django,12458,"Fixed #31051 -- Allowed dumpdata to handle circular references in natural keys.","matthijskooijman","felixxm"
django/django,12464,"Fixed #31228 -- Reallowed aggregates to be used with multiple expressions and no DISTINCT on SQLite.","Taoup","felixxm"
django/django,12469,"Fixed #29724 -- Fixed timezone handling in ModelAdmin.date_hierarchy queries.","hramezani","felixxm"
django/django,12470,"Fixed #31285 -- Fixed inherited Meta.ordering of ""-pk"".","jdufresne","felixxm"
django/django,12477,"Fixed #31185 -- Fixed detecting of unique fields in ForeignKey/ForeignObject checks when using Meta.constraints.","lothemar","felixxm"
django/django,12484,"Fixed #31289 -- Added hint for USERNAME_FIELD/REQUIRED_FIELDS system check.","aryan9600","felixxm"
django/django,12485,"Fixed #31293 -- Allowed MultiPartParser to handle double-quoted encoded headers.","007gzs","felixxm"
django/django,12486,"Fixed #28280 -- Prevented numberformat.format() from formatting large/tiny floats in scientific notation.","hramezani","felixxm"
django/django,12496,"Fixed #29129 -- Skipped UPDATE when adding a model instance with primary key that has a default.","abhijeetviswa","felixxm"
django/django,12497,"Fixed #31310 -- Fixed hints in checks for using intermediate model with ambiguous foreign key.","matheuscunhamotta","felixxm"
django/django,12503,"Fixed #31314 -- Raised CommandError when locale is not specified in makemessages.","app/","felixxm"
django/django,12504,"Fixed #15619 -- Deprecated log out via GET requests.","rfleschenberg","felixxm"
django/django,12508,"Fixed #29501 -- Allowed dbshell to pass options to underlying tool.","adamchainz","felixxm"
django/django,12513,"Fixed #31327 -- Deprecated providing_args argument for Signal.","jdufresne","carltongibson"
django/django,12517,"Fixed #29329 -- Made datetime logging from runserver more consistent.","hramezani","felixxm"
django/django,12518,"Fixed #31318 -- Allowed sqlmigrate to inspect squashed migrations.","David-Wobrock","felixxm"
django/django,12519,"Fixed #31150 -- Included subqueries that reference related fields in GROUP BY clauses.","felixxm","felixxm"
django/django,12532,"Fixed #8760 -- Changed ModelMultipleChoiceField to use invalid_list as a error message key.","smithdc1","felixxm"
django/django,12553,"Fixed #31358 -- Increased salt entropy of password hashers.","darakian","felixxm"
django/django,12556,"Fixed #31359 -- Deprecated get_random_string() calls without an explicit length.","claudep","felixxm"
django/django,12568,"Fixed #31363 -- Added support for negative integers to intword template filter.","jay20162016","felixxm"
django/django,12588,"Fixed #31123 -- Added --include-stale-apps option to the remove_stale_contenttypes management command.","felixxm","felixxm"
django/django,12589,"Fixed #31377 -- Disabled grouping by aliases on QuerySet.values()/values_list() when they collide with field names.","hramezani","felixxm"
django/django,12591,"Fixed #30311 -- Restored ability to override global admin actions.","hashlash","felixxm"
django/django,12613,"Fixed #30583 -- Fixed handling JSONFields in XML serializer.","hramezani","felixxm"
django/django,12627,"Fixed #31375 -- Made contrib.auth.hashers.make_password() accept only bytes or strings.","hramezani","felixxm"
django/django,12630,"Fixed #31402 -- Added migrate --check option. ","thenewguy","felixxm"
django/django,12663,"Fixed #31420 -- Fixed crash when filtering subquery annotation against a SimpleLazyObject.","hramezani","felixxm"
django/django,12669,"Fixed #31426 -- Added proper field validation to QuerySet.order_by().","charettes","felixxm"
django/django,12671,"Fixed #31428 -- Allowed empty message in management command self.stdout/err proxies.","francoisfreitag","felixxm"
